"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"<U+0B95><U+0BBE><U+0BAF><U+0B99><U+0BCD><U+0B95><U+0BB3><U+0BCD> <U+0B95><U+0BC1><U+0BA3><U+0BAE><U+0BBE><U+0B95> <U+0B95><U+0BBE><U+0BB2><U+0BAE><U+0BCD> <U+0B95><U+0BBE><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0BB0><U+0BC1>!
<U+0B95><U+0BA9><U+0BB5><U+0BC1><U+0B95><U+0BB3><U+0BCD> <U+0BA8><U+0BBF><U+0BA9><U+0BC8><U+0BB5><U+0BBE><U+0B95> <U+0B95><U+0BBE><U+0BAF><U+0BAE><U+0BCD> <U+0BAA><U+0BCA><U+0BB1><U+0BC1><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0BB0><U+0BC1>! <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

#Bharathiyar #MahakaviBharathiyar",FALSE,0,NA,2017-12-11 06:11:55,FALSE,NA,"940101821451853824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","praveentalks",0,FALSE,FALSE,NA,NA
"RT @Subbuscribe: #Bharathiyar #TamilNadu Nation celebrate birthday of popular nationalist poet Chinnaswami subramanya Bharatiya (popularly…",FALSE,0,NA,2017-12-11 06:11:52,FALSE,NA,"940101811763003392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vmlog",12,TRUE,FALSE,NA,NA
"RT @simbhuforever: <ed><U+00A0><U+00BC><ed><U+00BE><U+0089>Happy Birthday to our National Poet Shri.Subramanya #Bharathiyar <ed><U+00A0><U+00BC><ed><U+00BE><U+0089> https://t.co/WGH27fVTdL",FALSE,0,NA,2017-12-11 06:11:48,FALSE,NA,"940101794612445184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tweettotamil",45,TRUE,FALSE,NA,NA
"My blog page https://t.co/5FTSRhFOBm

#MondayMotivation #HappyBirthdayDilipKumar #NZvWI #<U+0917><U+0941><U+091C><U+0930><U+093E><U+0924>_vs_<U+092D><U+093E><U+091C><U+092A><U+093E>_<U+0915><U+093E>_<U+0905><U+0939><U+0902><U+0915><U+093E><U+0930>… https://t.co/8vS4ekEdmx",FALSE,0,NA,2017-12-11 06:11:47,TRUE,NA,"940101789583421441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","trapti2380",0,FALSE,FALSE,NA,NA
"<U+0BAA><U+0BBE><U+0BB0><U+0BA4> <U+0BA4><U+0BC7><U+0B9A> <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3> <U+0BB5><U+0BBF><U+0B9F><U+0BC1><U+0BA4><U+0BB2><U+0BC8><U+0B95><U+0BCD><U+0B95><U+0BC1> ! <U+0BAE><U+0B95><U+0BCD><U+0B95><U+0BB3><U+0BC8> <U+0BA4><U+0BA9><U+0BCD> <U+0B95><U+0BB5><U+0BBF><U+0BA4><U+0BC8><U+0B95><U+0BB3><U+0BCD> <U+0B95><U+0BCA><U+0BA3><U+0BCD><U+0B9F><U+0BC1> <U+0BB5><U+0BC0><U+0BB0> <U+0B8E><U+0BB4><U+0BC1><U+0BB0><U+0BCD><U+0B9A><U+0BCD><U+0B9A><U+0BBF> ! <U+0B9A><U+0BC6><U+0BAF><U+0BCD><U+0BA4> <U+0BAE><U+0B95><U+0BBE><U+0BA9><U+0BCD> <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> <U+0BAE><U+0B95><U+0BBE><U+0B95><U+0BB5><U+0BBF> #Bharathiyar <U+0BAA><U+0BBF><U+0BB1><U+0BA8><U+0BCD><U+0BA4><U+0BA4><U+0BBF><U+0BA9><U+0BAE><U+0BCD>… https://t.co/TkEVEZGCbK",FALSE,0,NA,2017-12-11 06:11:44,TRUE,NA,"940101778829221888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iam_Praveen1995",0,FALSE,FALSE,NA,NA
"RT @veeratalks: <U+0B95><U+0B9F><U+0BA8><U+0BCD><U+0BA4> <U+0B95><U+0BBE><U+0BB2><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0BB2><U+0BCD> <U+0BA8><U+0B9F><U+0BA8><U+0BCD><U+0BA4><U+0BA4><U+0BC8> <U+0B8E><U+0BA3><U+0BCD><U+0BA3><U+0BBF> <U+0BAA><U+0BAF><U+0BA9><U+0BBF><U+0BB2><U+0BCD><U+0BB2><U+0BC8>. <U+0B87><U+0BA9><U+0BBF> <U+0BA8><U+0B9F><U+0B95><U+0BCD><U+0B95> <U+0B87><U+0BB0><U+0BC1><U+0BAA><U+0BCD><U+0BAA><U+0BA4><U+0BC8> <U+0B9A><U+0BBF><U+0BA8><U+0BCD><U+0BA4><U+0BBF><U+0BA4><U+0BCD><U+0BA4><U+0BC1> <U+0B9A><U+0BC6><U+0BAF><U+0BB2><U+0BCD><U+0BAA><U+0B9F><U+0BC1><U+0BAA><U+0BB5><U+0BA9><U+0BC7> <U+0BAA><U+0BC1><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0B9A><U+0BBE><U+0BB2><U+0BBF>.

#Bharathiyar",FALSE,0,NA,2017-12-11 06:11:33,FALSE,NA,"940101729743355906",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gamunu_keda",2,TRUE,FALSE,NA,NA
"RT @anandhakumar101: <U+0BAF><U+0BBE><U+0BAE><U+0BB1><U+0BBF><U+0BA8><U+0BCD><U+0BA4> <U+0BAE><U+0BCA><U+0BB4><U+0BBF><U+0B95><U+0BB3><U+0BBF><U+0BB2><U+0BC7> #_<U+0BA4><U+0BAE><U+0BBF><U+0BB4><U+0BCD>_<U+0BAE><U+0BCA><U+0BB4><U+0BBF> <U+0BAA><U+0BCB><U+0BB2><U+0BCD> 
<U+0B87><U+0BA9><U+0BBF><U+0BA4><U+0BBE><U+0BB5><U+0BA4><U+0BC1> <U+0B8E><U+0B99><U+0BCD><U+0B95><U+0BC1><U+0BAE><U+0BCD> <U+0B95><U+0BBE><U+0BA3><U+0BCB><U+0BAE><U+0BCD>.!

#Bharathiyar https://t.co/N1wkfvbmYX",FALSE,0,NA,2017-12-11 06:11:09,FALSE,NA,"940101628593545216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vmlog",2,TRUE,FALSE,NA,NA
"Hello Friends i am palakdeshmukh friends https://t.co/9VKuFJCG7B #MondayMotivation #HappyBirthdayDilipKumar #NZvWI… https://t.co/5rHcc7xHfa",FALSE,0,NA,2017-12-11 06:11:01,TRUE,NA,"940101598524579840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","palakdeshmukh11",0,FALSE,FALSE,NA,NA
"RT @anandhakumar101: <U+0BAF><U+0BBE><U+0BAE><U+0BB1><U+0BBF><U+0BA8><U+0BCD><U+0BA4> <U+0BAE><U+0BCA><U+0BB4><U+0BBF><U+0B95><U+0BB3><U+0BBF><U+0BB2><U+0BC7> #_<U+0BA4><U+0BAE><U+0BBF><U+0BB4><U+0BCD>_<U+0BAE><U+0BCA><U+0BB4><U+0BBF> <U+0BAA><U+0BCB><U+0BB2><U+0BCD> 
<U+0B87><U+0BA9><U+0BBF><U+0BA4><U+0BBE><U+0BB5><U+0BA4><U+0BC1> <U+0B8E><U+0B99><U+0BCD><U+0B95><U+0BC1><U+0BAE><U+0BCD> <U+0B95><U+0BBE><U+0BA3><U+0BCB><U+0BAE><U+0BCD>.!

#Bharathiyar https://t.co/N1wkfvbmYX",FALSE,0,NA,2017-12-11 06:10:58,FALSE,NA,"940101584318431232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tweet_KarthiiK",2,TRUE,FALSE,NA,NA
"#Bharathiyar ...<U+0BAA><U+0BBE><U+0BB0><U+0BCD> <U+0BAE><U+0BC0><U+0BA4><U+0BC1> <U+0BA8><U+0BBE><U+0BA9><U+0BCD> <U+0B9A><U+0BBE><U+0B95><U+0BBE><U+0BA4><U+0BBF><U+0BB0><U+0BC1><U+0BAA><U+0BCD><U+0BAA><U+0BC7><U+0BA9><U+0BCD>...<U+0BAA><U+0BBE><U+0BB0><U+0BC0><U+0BB0><U+0BCD>... https://t.co/CKcxQdzfGI",FALSE,0,NA,2017-12-11 06:10:55,FALSE,NA,"940101571676798976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vijaybossboss",0,FALSE,FALSE,NA,NA
